timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1776963423687,12,Logout,200,,Thread-Gruppe 1-4,text,true,,10823,1828,10,10,http://localhost:8080/tools.descartes.teastore.webui/,4,0,0
1776963423687,4,Logout-0,302,,Thread-Gruppe 1-4,,true,,1392,1092,10,10,http://localhost:8080/tools.descartes.teastore.webui/loginAction,4,0,0
1776963423692,7,Logout-1,200,,Thread-Gruppe 1-4,text,true,,9431,736,10,10,http://localhost:8080/tools.descartes.teastore.webui/,6,0,0
1776963423879,85,Look at Product,200,,Thread-Gruppe 1-10,text,true,,104612,760,10,10,http://localhost:8080/tools.descartes.teastore.webui/product?id=411,85,0,1
1776963424525,58,Login,200,,Thread-Gruppe 1-8,text,true,,10448,1022,10,10,http://localhost:8080/tools.descartes.teastore.webui/,30,0,0
1776963424525,30,Login-0,302,,Thread-Gruppe 1-8,,true,,803,276,10,10,http://localhost:8080/tools.descartes.teastore.webui/loginAction,30,0,0
1776963424555,28,Login-1,200,,Thread-Gruppe 1-8,text,true,,9645,746,10,10,http://localhost:8080/tools.descartes.teastore.webui/,28,0,0
1776963424509,75,Logout,200,,Thread-Gruppe 1-5,text,true,,10823,1824,10,10,http://localhost:8080/tools.descartes.teastore.webui/,15,0,0
1776963424509,15,Logout-0,302,,Thread-Gruppe 1-5,,true,,1392,1088,10,10,http://localhost:8080/tools.descartes.teastore.webui/loginAction,15,0,0
1776963424524,60,Logout-1,200,,Thread-Gruppe 1-5,text,true,,9431,736,10,10,http://localhost:8080/tools.descartes.teastore.webui/,60,0,0
1776963424547,64,Add Product to Cart,200,,Thread-Gruppe 1-3,text,true,,26990,1740,10,10,http://localhost:8080/tools.descartes.teastore.webui/cart,33,0,0
1776963424547,33,Add Product to Cart-0,302,,Thread-Gruppe 1-3,,true,,932,865,10,10,http://localhost:8080/tools.descartes.teastore.webui/cartAction,33,0,0
1776963424580,31,Add Product to Cart-1,200,,Thread-Gruppe 1-3,text,true,,26058,875,10,10,http://localhost:8080/tools.descartes.teastore.webui/cart,31,0,0
1776963424733,33,Look at Product,200,,Thread-Gruppe 1-9,text,true,,138377,759,10,10,http://localhost:8080/tools.descartes.teastore.webui/product?id=218,32,0,0
1776963424922,18,Logout,200,,Thread-Gruppe 1-7,text,true,,10823,1824,10,10,http://localhost:8080/tools.descartes.teastore.webui/,7,0,0
1776963424922,7,Logout-0,302,,Thread-Gruppe 1-7,,true,,1392,1088,10,10,http://localhost:8080/tools.descartes.teastore.webui/loginAction,7,0,0
1776963424929,11,Logout-1,200,,Thread-Gruppe 1-7,text,true,,9431,736,10,10,http://localhost:8080/tools.descartes.teastore.webui/,9,0,0
1776963425123,14,Home,200,,Thread-Gruppe 1-2,text,true,,9118,148,10,10,http://localhost:8080/tools.descartes.teastore.webui/,14,0,0
1776963425155,19,List Products with different page,200,,Thread-Gruppe 1-1,text,true,,112351,897,10,10,http://localhost:8080/tools.descartes.teastore.webui/category?category=6&page=5,18,0,0
1776963425363,25,List Products with different page,200,,Thread-Gruppe 1-6,text,true,,104178,900,10,10,http://localhost:8080/tools.descartes.teastore.webui/category?category=3&page=3,24,0,0
1776963425912,19,List Products with different page,200,,Thread-Gruppe 1-3,text,true,,98541,897,10,10,http://localhost:8080/tools.descartes.teastore.webui/category?category=2&page=1,19,0,0
1776963425932,19,Home,200,,Thread-Gruppe 1-4,text,true,,9118,148,10,10,http://localhost:8080/tools.descartes.teastore.webui/,19,0,0
1776963426249,38,Add Product to Cart,200,,Thread-Gruppe 1-10,text,true,,28846,1741,10,10,http://localhost:8080/tools.descartes.teastore.webui/cart,16,0,0
1776963426249,16,Add Product to Cart-0,302,,Thread-Gruppe 1-10,,true,,933,865,10,10,http://localhost:8080/tools.descartes.teastore.webui/cartAction,16,0,0
1776963426265,22,Add Product to Cart-1,200,,Thread-Gruppe 1-10,text,true,,27913,876,10,10,http://localhost:8080/tools.descartes.teastore.webui/cart,22,0,0
1776963426591,32,Login,200,,Thread-Gruppe 1-2,text,true,,10446,1020,10,10,http://localhost:8080/tools.descartes.teastore.webui/,20,0,0
1776963426591,20,Login-0,302,,Thread-Gruppe 1-2,,true,,801,276,10,10,http://localhost:8080/tools.descartes.teastore.webui/loginAction,20,0,0
1776963426612,11,Login-1,200,,Thread-Gruppe 1-2,text,true,,9645,744,10,10,http://localhost:8080/tools.descartes.teastore.webui/,11,0,0
1776963426635,45,Add Product to Cart,200,,Thread-Gruppe 1-9,text,true,,25389,1739,10,10,http://localhost:8080/tools.descartes.teastore.webui/cart,17,0,0
1776963426635,17,Add Product to Cart-0,302,,Thread-Gruppe 1-9,,true,,932,864,10,10,http://localhost:8080/tools.descartes.teastore.webui/cartAction,17,0,0
